player_id,player_name,position,orientation,archetype_key,archetype_name,minutes,latest_team_name,primary_league_name,raw_quality_rating,minutes_reliability,futbud_rating,role_rating_percentile,quality_status,quality_metric_count,pass_accuracy_pct_quality,duel_win_pct_quality,blocks_per90_quality,interceptions_per90_quality,tackles_per90_quality,dribbled_past_per90_quality,dribble_success_pct_quality,key_passes_per90_quality,assists_per90_quality,goals_per90_quality,shot_accuracy_pct_quality,fouls_drawn_per90_quality,shots_total_per90_quality
19071,Emiliano Buendía,M,wide,six_eight_hybrid,6/8 Hybrid,1784.0,Aston Villa,Premier League,57.4,93.2,56.9,67.1,Good,6,62.93103448275862,36.206896551724135,,67.24137931034483,92.24137931034483,,11.206896551724139,,,,,71.55172413793103,
19128,Jack Harrison,F,wide,linking_winger,Linking Forward,1242.0,Fiorentina,Serie A,30.2,89.2,32.3,14.0,Poor,5,53.06122448979592,,,,,,,4.081632653061225,73.46938775510205,4.081632653061225,13.26530612244898,,
19163,Jacob Murphy,F,wide,linking_winger,Linking Forward,1627.0,Newcastle,Premier League,18.3,92.1,20.8,6.0,Poor,5,0.0,,,,,,,12.244897959183673,32.6530612244898,14.285714285714285,28.57142857142857,,
19170,Morgan Rogers,M,wide,eight_ten_hybrid,8/10 Hybrid,3285.0,Aston Villa,Premier League,33.4,100.0,33.4,10.7,Poor,6,8.108108108108109,,,,,,10.81081081081081,20.72072072072072,45.94594594594595,58.55855855855856,67.56756756756756,,
19179,Tyrone Mings,D,,positional_cb,Positional Center Back,1323.0,Aston Villa,Premier League,39.9,89.8,40.9,25.5,Below Average,6,59.154929577464785,22.535211267605636,30.51643192488263,17.370892018779344,0.0,89.2018779342723,,,,,,,
19182,Axel Tuanzebe,D,,positional_cb,Positional Center Back,1202.0,Burnley,Premier League,23.1,88.9,26.1,2.6,Poor,6,7.511737089201878,1.4084507042253522,59.624413145539904,22.065727699530516,25.352112676056336,41.31455399061033,,,,,,,
19185,Keinan Davis,F,central,traditional_9,Traditional No. 9,2079.0,Udinese,Serie A,70.8,95.4,69.9,85.1,Excellent,5,,81.64251207729468,,,,,,92.7536231884058,,68.59903381642512,89.3719806763285,,35.26570048309179
19187,Jack Grealish,M,wide,six_eight_hybrid,6/8 Hybrid,1631.0,Everton,Premier League,55.5,92.1,55.0,61.5,Good,6,83.62068965517241,70.6896551724138,,58.620689655172406,12.931034482758621,,34.48275862068966,,,,,93.10344827586206,
19191,John McGinn,M,wide,eight_ten_hybrid,8/10 Hybrid,2169.0,Aston Villa,Premier League,52.8,96.1,52.7,60.7,Good,6,49.549549549549546,,,,,,65.76576576576578,50.45045045045045,47.74774774774775,42.34234234234234,72.52252252252252,,
19192,Jacob Ramsey,M,central,attacking_midfielder,Attacking Midfielder (AM / 10),1465.0,Newcastle,Premier League,48.6,90.9,48.7,48.4,Average,6,75.0,,,,,,42.934782608695656,32.608695652173914,58.69565217391305,60.86956521739131,25.543478260869566,,
19201,Jayden Bogle,M,central,box_to_box_midfielder,Box-to-Box Midfielder (CM / 8),2809.0,Leeds,Premier League,45.6,100.0,45.6,33.5,Below Average,7,25.0,46.96969696969697,,80.3030303030303,75.0,,24.242424242424242,,42.42424242424242,24.242424242424242,,,
19209,Fikayo Tomori,D,,positional_cb,Positional Center Back,2563.0,AC Milan,Serie A,46.2,99.0,46.2,36.9,Below Average,6,62.441314553990615,18.30985915492958,58.68544600938967,48.35680751173709,99.53051643192488,6.103286384976528,,,,,,,
19220,Mason Mount,F,wide,linking_winger,Linking Forward,1018.0,Manchester United,Premier League,17.2,87.5,21.3,8.0,Poor,5,48.97959183673469,,,,,,,6.122448979591836,5.1020408163265305,42.857142857142854,2.0408163265306123,,
19221,Harry Wilson,M,wide,eight_ten_hybrid,8/10 Hybrid,2692.0,Fulham,Premier League,54.2,99.9,54.2,65.6,Good,6,41.44144144144144,,,,,,82.88288288288288,23.423423423423422,69.36936936936937,74.77477477477478,43.24324324324324,,
19235,Djed Spence,D,,high_intensity_fullback,High-Intensity Fullback,2078.0,Tottenham,Premier League,16.1,95.4,17.7,1.4,Poor,6,,14.084507042253522,,18.30985915492958,18.30985915492958,,30.985915492957744,4.225352112676056,14.084507042253522,,,,
19245,Marcus Tavernier,M,wide,eight_ten_hybrid,8/10 Hybrid,2738.0,Bournemouth,Premier League,47.9,100.0,47.9,50.0,Average,6,62.16216216216216,,,,,,38.73873873873874,54.95495495495496,38.73873873873874,47.74774774774775,36.486486486486484,,
19263,Lloyd Kelly,D,,positional_cb,Positional Center Back,2998.0,Juventus,Serie A,45.0,100.0,45.0,33.9,Below Average,6,46.009389671361504,58.68544600938967,18.30985915492958,1.4084507042253522,68.54460093896714,79.34272300469483,,,,,,,
19281,Antoine Semenyo,M,wide,eight_ten_hybrid,8/10 Hybrid,3200.0,Manchester City,Premier League,43.0,100.0,43.0,39.3,Below Average,6,32.432432432432435,,,,,,30.180180180180184,11.711711711711711,29.72972972972973,90.09009009009009,81.98198198198197,,
19298,Matty Cash,D,,creative_fullback,Creative Fullback,3020.0,Aston Villa,Premier League,57.6,100.0,57.6,72.3,Very Good,6,65.2542372881356,44.06779661016949,,29.66101694915254,,,83.47457627118644,61.86440677966102,55.08474576271186,,,,
19321,Joe Rodon,D,,positional_cb,Positional Center Back,2953.0,Leeds,Premier League,34.5,100.0,34.5,13.1,Poor,6,31.455399061032864,24.413145539906104,39.671361502347416,29.577464788732392,30.985915492957744,54.92957746478873,,,,,,,
19346,Rico Henry,D,,creative_fullback,Creative Fullback,1334.0,Brentford,Premier League,26.3,89.9,28.7,5.0,Poor,6,9.322033898305085,27.11864406779661,,17.796610169491526,,,66.52542372881356,3.389830508474576,43.22033898305085,,,,
19354,Ezri Konsa,D,,positional_cb,Positional Center Back,3036.0,Aston Villa,Premier League,68.5,100.0,68.5,92.1,Excellent,6,98.59154929577466,92.95774647887323,67.13615023474179,7.981220657276995,3.286384976525822,91.07981220657277,,,,,,,
19366,Ollie Watkins,F,central,traditional_9,Traditional No. 9,2852.0,Aston Villa,Premier League,67.5,100.0,67.5,81.0,Very Good,5,,50.72463768115942,,,,,,30.917874396135264,,80.67632850241546,84.05797101449275,,50.24154589371981
19428,Jarrod Bowen,M,wide,six_eight_hybrid,6/8 Hybrid,3405.0,West Ham,Premier League,34.1,100.0,34.1,17.9,Poor,6,11.206896551724139,28.448275862068968,,62.93103448275862,20.689655172413794,,52.58620689655172,,,,,21.551724137931032,
19461,Lukas Nmecha,F,central,traditional_9,Traditional No. 9,1092.0,Leeds,Premier League,72.1,88.1,69.5,84.6,Very Good,5,,57.00483091787439,,,,,,48.792270531400966,,77.77777777777779,86.95652173913044,,62.80193236714976
19484,Adam Armstrong,F,central,traditional_9,Traditional No. 9,1146.0,Wolves,Premier League,22.2,88.5,25.4,6.7,Poor,5,,48.309178743961354,,,,,,7.729468599033816,,14.975845410628018,40.33816425120773,,6.280193236714976
19495,Nathan Collins,D,,positional_cb,Positional Center Back,2972.0,Brentford,Premier League,40.1,100.0,40.1,23.4,Poor,6,4.694835680751173,26.291079812206576,94.36619718309859,56.33802816901409,15.96244131455399,63.38028169014084,,,,,,,
19518,Maxime Colin,D,,positional_cb,Positional Center Back,1700.0,Metz,Ligue 1,45.6,92.6,45.9,36.0,Below Average,6,50.70422535211267,37.558685446009385,19.248826291079812,84.50704225352112,97.65258215962442,0.4694835680751197,,,,,,,
19524,Che Adams,F,central,traditional_9,Traditional No. 9,1896.0,Torino,Serie A,45.0,94.0,45.3,40.4,Average,5,,49.75845410628019,,,,,,85.5072463768116,,36.231884057971016,45.410628019323674,,37.19806763285024
19545,Reece James,D,,stopper_cb,Stopper Center Back,1961.0,Chelsea,Premier League,60.7,94.5,60.1,78.6,Very Good,6,80.0,60.76923076923077,6.923076923076923,76.92307692307693,69.23076923076923,72.3076923076923,,,,,,,
19549,Antonee Robinson,D,,high_intensity_fullback,High-Intensity Fullback,1493.0,Fulham,Premier League,74.4,91.1,72.2,95.8,Elite,6,,83.09859154929578,,100.0,81.69014084507043,,78.87323943661971,83.09859154929578,14.084507042253522,,,,
19586,Eberechi Eze,M,wide,eight_ten_hybrid,8/10 Hybrid,1900.0,Arsenal,Premier League,49.3,94.1,49.3,54.9,Average,6,72.97297297297297,,,,,,95.4954954954955,2.7027027027027026,21.62162162162162,73.87387387387388,53.153153153153156,,
19617,Michael Olise,M,wide,eight_ten_hybrid,8/10 Hybrid,2317.0,Bayern München,Bundesliga,86.1,97.2,85.1,100.0,Elite,6,65.76576576576578,,,,,,54.054054054054056,97.2972972972973,100.0,94.5945945945946,99.09909909909909,,
